,recipient,name,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid_list
123,0xf1B8c360317bf1249F976ab82c78aE50365822ec,Optimism Fractal Respect Game,metrics_available,82.0,17.0,0.0,9.0,206.0,31.0,0.0,12.0,['17d8f473-a44a-40c9-ad70-41d479db86e3']
124,0xf1a871aF236eC0Da070C3b09302270Ccf4E35794,AI,metrics_available,41.0,21.0,0.0,1.0,55.0,28.0,0.0,3.0,['c31e36bc-69ad-40e8-a3b9-29f5c1d6d86a']
125,0xf3B06b503652a5E075D423F97056DFde0C4b066F,Votecaster,metrics_available,23.0,4.0,0.0,3.0,23.0,4.0,0.0,3.0,['1c0ae0df-9238-497d-8fa0-ad05f381cf34']
126,0xf40eD759BF4C05DF1Af180FE27d470E52D7ca611,Cat Town | Gacha,metrics_available,43.0,4.0,0.0,3.0,43.0,4.0,0.0,3.0,['77e31db9-a73e-4aad-a8eb-694bd5c0ae54']
127,0x3363b291a21cC692A5e07C9C63E3DF45F135EFcd,Scry,no_onchain_activity_90D,,,,,,,,,['4b8a828b-14c0-47fb-9688-48706601ebc7']
128,0x48294a067D1bC5a58BCbAB4b3bE329d078D9E1Af,Pin Save,no_onchain_activity_90D,,,,,,,,,['1cda49ae-4a15-4437-a24e-260f4d43cbaa']
129,0x839d36595175E1F678110d52D8265a2FEa9607bA,TLX,no_onchain_activity_90D,,,,,,,,,['ca0f8386-dd66-4486-8a50-060e2beb29aa']
130,0x9D63038e7f74bc089eb38e61Be8Da937918900D6,Bored Town,no_onchain_activity_90D,,,,,,,,,['0674ed13-3026-4dad-9565-b522a40c8eff']
131,0xAa66fC4433DFD254F05A720A8c8a2f1F2fbDCB58,baby Dragon,no_onchain_activity_90D,,,,,,,,,['9a65dbec-2fb8-4889-9ef3-e1e2bbef14d4']
132,0xeAb4717efb29f91429dB6322F42Edc53C94F0941,Avantis ,no_onchain_activity_90D,,,,,,,,,['0592c036-8570-4c55-83bd-759ac99860ad']
133,0xfC4852B5e3aF65058CdfE1D1dce26946c0C1975f,song.camp: mint your music,no_onchain_activity_90D,,,,,,,,,['339045ef-ff61-4c5e-be0c-fd092be8f7dd']
