dt,chain,receipt_status,tx_count,l2_fees,l1_fees
2024-08-10,OPTIMISM,0,21569,0.2241240892613677,0.00047063952579113688
2024-08-10,OPTIMISM,1,406360,4.1106983298227737,0.01501702079005217
2024-08-10,ORDERLY,1,63045,0.00027162087223837688,0.012441905569215737
2024-08-10,POLYNOMIAL,1,43763,0.00042779186129994408,0.00413145942727231
2024-08-10,RACE,1,43392,0.0,
2024-08-10,REDSTONE,0,2065,0.0003996044131028994,8.68702608181511e-05
2024-08-10,REDSTONE,1,54857,0.00561769290105744,0.00051068288914020248
2024-08-10,SHAPE,1,43113,0.0,
2024-08-10,SWAN,1,17779,0.011266262734911962,0.015992736557374584
2024-08-10,WORLDCHAIN,1,48733,0.00044292035403254278,0.00010703803980797051
2024-08-10,XTERIO,1,43214,0.0,
2024-08-10,ZORA,0,1462,0.0026329452514222817,9.5106164345072e-05
2024-08-10,ZORA,1,155531,0.13738546366448778,0.0060540981672665486
2024-08-11,AUTOMATA,1,43069,0.0,
2024-08-11,BASE,0,206196,2.9788576407345349,0.0018695678819773817
2024-08-11,BASE,1,3586119,14.689466269120167,0.06905159099197461
2024-08-11,BOB,0,140,0.00032759772393302496,1.7132596875555005e-05
2024-08-11,BOB,1,57257,0.0819081429081564,0.00095162140369154681
2024-08-11,CYBER,0,134,0.00017998169715288318,9.0082478003806e-05
2024-08-11,CYBER,1,249995,0.074482305781819927,0.12469920022613445
2024-08-11,FRAX,0,221,0.0022210313736334567,9.6536278552109965e-05
2024-08-11,FRAX,1,48391,0.037270084868618374,0.0033237848308624836
2024-08-11,HAM,0,96,7.4795917439e-08,5.8745265105117e-05
2024-08-11,HAM,1,160962,0.037777198163758435,0.0062472279275790424
2024-08-11,KROMA,0,168,3.5810173084322005e-05,7.5597311693730017e-06
2024-08-11,KROMA,1,203899,0.067370752378862281,0.0034439554934139094
2024-08-11,LISK,0,1,4.24406824e-09,4.0650723346e-08
2024-08-11,LISK,1,43201,0.00013417574507955417,1.4517742866369998e-05
2024-08-11,LYRA,0,55,1.335912311e-08,3.7205049562539997e-06
2024-08-11,LYRA,1,46147,0.0010134248620925896,0.018108847856184794
2024-08-11,METAL,1,43147,6.8881249951247993e-05,0.000399270235928381
2024-08-11,MINT,0,303,0.00010239069667292176,0.00072156453757945269
2024-08-11,MINT,1,86032,0.14959291319636611,0.081233374787101492
2024-08-11,MODE,0,1833,0.02637007799343662,0.00017022553195851893
2024-08-11,MODE,1,135051,0.04302128357529722,0.0064833634266463179
2024-08-11,OPTIMISM,0,35261,1.5082652300022585,0.0034566013065857964
2024-08-11,OPTIMISM,1,425809,7.7264893447234986,0.023547852526116009
2024-08-11,ORDERLY,1,61960,0.00034324952744725672,0.013141145864493217
2024-08-11,POLYNOMIAL,1,43406,0.00030071336071990819,0.0043253183559390047
2024-08-11,RACE,1,43169,0.0,
2024-08-11,REDSTONE,0,2222,0.00035717530229843069,0.00013897126823535891
2024-08-11,REDSTONE,1,74803,0.0050853636389247506,0.002983567835411126
2024-08-11,SHAPE,1,43203,0.0,
2024-08-11,SWAN,0,1,2.5184999999999997e-07,2.061719877804e-06
2024-08-11,SWAN,1,17694,0.010162936316144993,0.013742789376086343
2024-08-11,WORLDCHAIN,1,46610,0.00023491300246620693,8.3440795650189153e-05
2024-08-11,XTERIO,1,43468,2.5206341999999997e-08,1.024337807531e-06
2024-08-11,ZORA,0,858,0.0027437871180181431,5.4391500016802948e-05
2024-08-11,ZORA,1,137594,0.045148990940441225,0.0065238522424971379
2024-08-12,AUTOMATA,1,43395,4.1564149285608725,0.3445641783400229
2024-08-12,BASE,0,322089,6.4631794985870457,0.010319580290850505
2024-08-12,BASE,1,3655010,30.333886559452583,0.20577470303705603
2024-08-12,BOB,0,212,0.0015211407350597507,7.4465867141344e-05
2024-08-12,BOB,1,72719,0.11934206009347387,0.00571130997622192
2024-08-12,CYBER,0,151,0.00024043995669618219,0.000315449880458595
2024-08-12,CYBER,1,216671,0.05220839712579993,0.34306392464687246
2024-08-12,FRAX,0,271,0.0027536461209368189,0.00036282384581879106
2024-08-12,FRAX,1,51275,0.0694425466384852,0.0163888370810568
2024-08-12,HAM,0,114,8.4852098709412e-05,4.2688118020289e-05
2024-08-12,HAM,1,162315,0.020306397861836752,0.011609820932030068
2024-08-12,KROMA,0,191,6.2867236202099986e-05,3.4342934727598e-05
2024-08-12,KROMA,1,171041,0.0869068354983577,0.0084091278310062072
2024-08-12,LISK,1,43546,0.00014551788025991022,4.7038321963062005e-05
2024-08-12,LYRA,0,3,1.5902926186119999e-06,3.4226826644170003e-06
2024-08-12,LYRA,1,46812,0.0012106917366062875,0.054747743291205041
2024-08-12,METAL,1,43303,3.3821186071872008e-05,0.00030145983869353396
2024-08-12,MINT,0,292,6.7709128444825873e-05,0.0024717104565175198
2024-08-12,MINT,1,86537,0.11129505143520838,0.25395152184350528
2024-08-12,MODE,0,2226,0.011535271724845067,0.000698226793995045
2024-08-12,MODE,1,133110,0.13307588348409735,0.017805353586066566
2024-08-12,OPTIMISM,0,53291,0.63886818330467288,0.023977972438093107
2024-08-12,OPTIMISM,1,488964,6.9465169999818768,0.084546953128134344
2024-08-12,ORDERLY,1,63856,0.0004068902559974469,0.044184181677610374
2024-08-12,POLYNOMIAL,1,43965,0.00038538149038507946,0.017393115443379775
2024-08-12,RACE,1,43452,0.0,
2024-08-12,REDSTONE,0,3540,0.00032705510287402964,0.000646381211079246
2024-08-12,REDSTONE,1,100666,0.0057043770993660068,0.014508652108904417
2024-08-12,SHAPE,1,42925,0.0,
2024-08-12,SWAN,1,17735,0.0072856140335122339,0.020733099438339769
2024-08-12,WORLDCHAIN,1,47117,0.000307037544519356,0.00033476595637165331
2024-08-12,XTERIO,1,43018,6.3015876e-08,3.4845305613940004e-06
2024-08-12,ZORA,0,463,0.00012836454484663507,0.00016019651038240188
2024-08-12,ZORA,1,126261,0.049659214702945216,0.018006492527607776
2024-08-13,AUTOMATA,1,43234,0.0,
2024-08-13,BASE,0,211154,3.9817410850985842,0.0030996615310677302
2024-08-13,BASE,1,3806488,24.023357977189146,0.11568348216676684
2024-08-13,BOB,0,317,0.00960774215274749,4.6696128581493978e-05
2024-08-13,BOB,1,56783,0.18273132950214083,0.0014588005516822703
2024-08-13,CYBER,0,90,0.00017976716122569209,9.8753924510295028e-05
2024-08-13,CYBER,1,227478,0.0489457397249425,0.19925195070022267
2024-08-13,FRAX,0,173,0.0012052813944916667,0.00010954218233532699
2024-08-13,FRAX,1,51238,0.060812566803518583,0.008437448541830081
2024-08-13,HAM,0,100,2.5699053399999998e-08,2.8375584824361e-05
2024-08-13,HAM,1,166036,0.0045479276014796961,0.009947729248354133
2024-08-13,KROMA,0,156,0.0015015075632726369,9.746153230076e-06
2024-08-13,KROMA,1,79571,0.045618749082065958,0.0018935235001221822
2024-08-13,LISK,1,43461,4.701183346170599e-05,3.6296139214035014e-05
2024-08-13,LYRA,0,2,2.8632602999999998e-08,1.448474504272e-06
2024-08-13,LYRA,1,46096,0.00090562319783205579,0.027241861633228504
2024-08-13,METAL,1,43557,0.00010761637375591994,0.00029710072745620797
2024-08-13,MINT,0,455,0.00084984903651345379,0.0021248525433517286
2024-08-13,MINT,1,90437,0.2462524871663328,0.16566604585053257
2024-08-13,MODE,0,1683,0.02713838943611712,0.00022545535065948287
2024-08-13,MODE,1,128385,0.19176935093280664,0.0082282892483302675
2024-08-13,OPTIMISM,0,32556,0.60967797075497243,0.0044853840060589574
2024-08-13,OPTIMISM,1,495770,5.8786129650017989,0.055065574607516016
2024-08-13,ORDERLY,1,73528,0.00063934773198862874,0.036479660366836621
2024-08-13,POLYNOMIAL,1,43525,0.00027082995456636003,0.0067631651981436454
2024-08-13,RACE,1,43159,0.0,
2024-08-13,REDSTONE,0,2166,0.00026393070533348075,0.00020254333164010526
2024-08-13,REDSTONE,1,90466,0.0049570408734253332,0.0062260762704663348
2024-08-13,SHAPE,1,43488,0.00018943715103279893,1.0597945792739998e-05
2024-08-13,SWAN,1,17904,0.013209695031779229,0.012797063427255362
2024-08-13,WORLDCHAIN,1,46851,0.000306523958538032,0.00017810474520324192
2024-08-13,XTERIO,1,43413,0.0,
2024-08-13,ZORA,0,358,7.6256016931924e-05,6.2750253832500992e-05
2024-08-13,ZORA,1,135374,0.052277644629030125,0.01065269989481891
2024-08-14,AUTOMATA,1,43143,0.0,
2024-08-14,BASE,0,353523,5.0856952858483186,0.0070262589182865289
2024-08-14,BASE,1,3745422,28.202852352606357,0.15891036075963666
2024-08-14,BOB,0,243,0.0022925873663448442,4.8324987073085018e-05
2024-08-14,BOB,1,60304,0.23752795657333881,0.0026185298296435931
2024-08-14,CYBER,0,79,0.00017517620939884793,0.00012264280295977501
2024-08-14,CYBER,1,202591,0.049331397000914649,0.18710857284151394
2024-08-14,FRAX,0,190,0.0026592639629118074,0.00023543540706626303
2024-08-14,FRAX,1,54808,0.096036040937220554,0.016151955880651613
2024-08-14,HAM,0,149,3.2576437686e-08,8.1568682069642e-05
2024-08-14,HAM,1,146931,0.0011092960904103878,0.012957405742835498
2024-08-14,KROMA,0,2919,0.0013054025701231113,0.00021930424985393764
2024-08-14,KROMA,1,154992,0.0822121168937345,0.004556025879890846
2024-08-14,LISK,0,3,1.3775470809e-07,9.1634274543e-07
2024-08-14,LISK,1,43347,0.0040168954831250724,5.279569092435401e-05
2024-08-14,LYRA,0,5,1.5194000275000002e-06,4.599578035593e-06
2024-08-14,LYRA,1,46331,0.00097143006656355145,0.037658714747349865
2024-08-14,METAL,1,42962,0.00017031418440538213,0.00034335086795254894
2024-08-14,MINT,0,578,0.0004444998923169463,0.0040403480626732416
2024-08-14,MINT,1,83610,0.15595036561360612,0.21308564538110444
2024-08-14,MODE,0,1344,0.0026778624485231332,0.00029864869630451908
2024-08-14,MODE,1,129414,0.036220482219309014,0.012317225269912586
2024-08-14,OPTIMISM,0,33531,0.62473908468746142,0.0023186643424685563
2024-08-14,OPTIMISM,1,486489,7.0276685739793567,0.044498961572447988
2024-08-14,ORDERLY,1,89562,0.00053518414391508186,0.0882762213367367
2024-08-14,POLYNOMIAL,1,43691,0.00027504466997279215,0.010206021196568993
2024-08-14,RACE,1,43115,0.0,
2024-08-14,REDSTONE,0,2147,0.00030718757911887991,0.00024502085481857783
2024-08-14,REDSTONE,1,74065,0.030114384761750632,0.00483230042842055
2024-08-14,SHAPE,1,43252,0.0,
2024-08-14,SWAN,0,2,0.00011516001160812801,7.370099795316e-06
2024-08-14,SWAN,1,18108,0.0098337329071411933,0.011620971813526197
2024-08-14,WORLDCHAIN,1,47835,0.00063983547646211255,0.0050991693942668065
2024-08-14,XTERIO,1,43295,5.5233334799999994e-10,0.000361119367300735
2024-08-14,ZORA,0,323,0.00037757141416602,9.3616104583315972e-05
2024-08-14,ZORA,1,158201,0.050054673686727183,0.018965812968688996
2024-08-15,AUTOMATA,1,43378,0.0,
2024-08-15,BASE,0,254684,6.7717260030228221,0.007610873678454943
2024-08-15,BASE,1,3849037,29.276391417254288,0.21769009280716459
2024-08-15,BOB,0,226,0.0010041441700933355,5.4792191544513994e-05
2024-08-15,BOB,1,57607,0.15270875757443328,0.0025891391613625122
2024-08-15,CYBER,0,1272,0.031775196569934896,0.00386576345083594
2024-08-15,CYBER,1,136479,0.050033708946855396,0.13331679114488798
2024-08-15,FRAX,0,284,0.00063696307069006008,0.0003025820602320866
2024-08-15,FRAX,1,54596,0.082953091498167111,0.019363214794824449
2024-08-15,HAM,0,178,1.1020505034089997e-06,0.0007972774602667159
2024-08-15,HAM,1,101071,0.000378847467400801,0.009732192015310847
2024-08-15,KROMA,0,2142,1.9542353293154369e-05,7.373559503653709e-05
2024-08-15,KROMA,1,158324,0.038710307930978266,0.0069077191982507488
2024-08-15,LISK,1,43683,0.00030347999068903325,9.9314424642003043e-05
2024-08-15,LYRA,0,9,4.360110061643e-06,1.0347697481647e-05
2024-08-15,LYRA,1,47373,0.0012104114107025434,0.052673889442875016
2024-08-15,METAL,1,43275,6.4355555930456e-05,0.0004229484733487721
2024-08-15,MINT,0,684,0.0014318799890974587,0.0042243226595696914
2024-08-15,MINT,1,70495,0.091693260851489738,0.13930310493442974
2024-08-15,MODE,0,1108,0.0026047038919277373,0.00027604531009135514
2024-08-15,MODE,1,130452,0.03052856099091503,0.016125118591207181
2024-08-15,OPTIMISM,0,35470,0.74315842990286429,0.0028582166594760664
2024-08-15,OPTIMISM,1,508326,9.7467560935650219,0.081682917905011143
2024-08-15,ORDERLY,1,58211,0.00032791327223628364,0.022138041642472839
2024-08-15,POLYNOMIAL,1,43365,0.00031834638710902024,0.013438570488433284
2024-08-15,RACE,1,42866,0.0,
2024-08-15,REDSTONE,0,1729,0.0002045068537271,0.00028001103990595608
2024-08-15,REDSTONE,1,71724,0.0061006444399286913,0.0065185108589516962
2024-08-15,SHAPE,1,43113,0.0,
2024-08-15,SWAN,1,17747,0.018767794163616305,0.0085019827975912586
2024-08-15,WORLDCHAIN,1,49029,0.0041214978583980254,0.0040142480801885969
2024-08-15,XTERIO,1,43135,0.0,
2024-08-15,ZORA,0,350,0.00011195522065568595,0.000163030465555747
2024-08-15,ZORA,1,159149,0.051143558500760133,0.024187859414517135
2024-08-16,AUTOMATA,1,43320,0.0,
2024-08-16,BASE,0,230793,4.0505572903322751,0.0027783004142716812
2024-08-16,BASE,1,3790872,19.82862362744843,0.089664234812957253
2024-08-16,BOB,0,348,0.00093678831502913063,3.3840016655068032e-05
2024-08-16,BOB,1,61995,0.12726134321476237,0.0014940835822432365
2024-08-16,CYBER,0,105,0.000200492031221926,7.837669755565e-05
2024-08-16,CYBER,1,221223,0.063194078044156027,0.1257778635132169
2024-08-16,FRAX,0,235,0.00053195439608158459,0.00011203947587594702
2024-08-16,FRAX,1,53302,0.074279173698347412,0.0065701073273123876
2024-08-16,HAM,0,97,3.0760518904e-08,6.6215762301477993e-05
2024-08-16,HAM,1,154150,0.00084144755180579674,0.0092746115798672448
2024-08-16,KROMA,0,416,5.6941111538605991e-05,1.1138729911177002e-05
2024-08-16,KROMA,1,174620,0.045878436439363957,0.0027374203449385178
2024-08-16,LISK,0,1,5.2886174100000005e-09,2.50474103319e-07
2024-08-16,LISK,1,43484,0.00025868699118632008,2.0429437432464004e-05
2024-08-16,LYRA,1,47068,0.0010109279474098158,0.020476904897758809
2024-08-16,METAL,1,43489,2.1297762590487997e-05,7.4776137040984e-05
