,oso_project_name,oso_display_name,round_number,oso_generated_round_label,gitcoin_project_id,num_donors,crowd_funding_usd,match_funding_usd
1358,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xfcae6b26faf46b90cdfec0c7908fc8719e4a9f08467049ce4f90edd8fde83e0d,45,46.430058787576854,69.84511370312501
1359,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x91ad604137e206fbdd50b8e81bc4c20d2e7a5f25b54bf71b4f49d51b0ce9d20c,48,39.33623598816121,69.25525001562501
1360,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xc73eb24103a064f2069ec877bf4f1243abe3eafd3cdde9ae741704f3118be7e6,35,37.281011196784675,68.44420884375
1361,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xe5e11fd40f2b98f1ef7c105ba24032c0da8c5a09248ac68d7fb56428ef384a9d,25,25.802212784066796,67.64369178125
1362,,,22,GG-22 - 608,0xe2ef022ecfa1e3108e45d82a68d66790c89da5742482c3844cd8f7c788952e63,54,167.52771201758878,67.429265625
1363,zenbiteth,zenbit.eth,22,GG-22 - 608,0x433f3d13927533e99c1b0f7a67ddb3f6c4ca347530f1df32230f592d31663dd2,51,104.4240147092496,66.53020875
1364,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xe7baa25e0311b28ef5cdfa4f5c04b19b3db80b235d493d0d266c0b4ee6a305cf,45,39.57842256580261,66.255022578125
1365,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x1b9d52bd361ae765d45bf04e96fbc3787101bd1f0e2ea59c9dcf1d830cf88581,54,60.012921951336466,65.754984671875
1366,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xe8abed71f63ae554019e36c3f0cab555e525e9b8f75c3de90b34606b0fb8be80,39,77.55568487718483,65.50496571875
1367,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x21cb507f1f82863d6adbcffd459e724af01853c159618e59abc8a0aeb049f876,39,38.16368575487286,64.641752796875
1368,grayareaorg,Gray Area Foundation for the Arts,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x6b763c23f49489c2a0bee1a76f4498a4cd9cdcae485f41ad4b33ba1276548ce1,35,23.963941079888173,64.254870953125
1369,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x083205b4769e1c414e6344eb0db7d01f1b6626010e4bb5e852b4c281d16e2d25,36,29.74713095356492,62.75475723437499
