project_id,project_name,applicant_type,applicant_address,applicant_ens,award_result,median_amount_result,ballot_result,quorum_result,included_in_ballots,included_in_lists,lists_min_amount,lists_quartile_1_amount,lists_median_amount,lists_quartile_3_amount,lists_max_amount,funding_reported_total,funding_reported_usd,funding_reported_op,vc_funding,has_token,impact_category
0x9ed643c855860e3fa9950a598af75c9810a39e2780c4227afe5bc8df865c067d,Fe,PROJECT,0x7dDeBeb7a2d0Ecb9b9bE8d72D2E3dC96dC2481F7,,99379.28,100000,50,true,50,4,25000,27459,52459,466071.4286,857142.8571,0,0,0,,,DEVELOPER_ECOSYSTEM
0x67ced2fcb164fe4806d9f1e10cb7a6ba4862530cd9d60a188e3dd3d5c6ce162d,Hop DAO,PROJECT,0x9f8d2dafE9978268aC7c67966B366d6d55e97f07,,49689.64,50000,50,true,50,8,38462,125000,190000,220000,250000,1350000,0,1000000,2000000,true,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0xb8741b55dc416bd673cfb40a1ae2f19e10e1ddc2acc809c27016a5a4c17484fa,IC3,PROJECT,0xBF430a49C4d85AeeD3908619D5387A1fbF8E74A9,sarahallen.eth,49689.64,50000,50,true,50,6,0,10000,43796.5,50000,500000,61155.00000000001,0,45300,,,COLLECTIVE_GOVERNANCE|OP_STACK
0xe04b509d073efc17c44e3dd988dbb46724a11836aff71575424bcc7a0ec91123,Endaoment,PROJECT,0x9d9d5A6cdbdCd1D7D4261861A30Db1A806154662,,76445.53,76923,49,true,49,8,17192,36324,63461.5,117500,275000,10105000,10105000,0,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x2ef1439654b9728dc8e5412623d8fc1374bd6ab1ab919d018b39cf52613e4e4d,🐍 snekmate,PROJECT,0x07bF3CDA34aA78d92949bbDce31520714AB5b228,,49689.64,50000,49,true,49,4,25000,34938.5,72438.5,125000,150000,64909.79550000001,0,48081.33,,,DEVELOPER_ECOSYSTEM|OP_STACK
0x715a13d6d425db499f4b493b302f02f738fe93b2c32e09ab7ca35d4392e2471a,Pocket Network,PROJECT,0x7b8B83e68C73AA4F00e6eD1A505dE15147AD5764,b3nnn.eth,61771.18,62157,49,true,49,8,50000,68578.5,124826,175000,200000,78543.7965,0,58180.59,28200000,true,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0x43a3dfdedf7dc7ba761c2c6c39f1ff92749ec592bdaa818dd15faf42f53d0401,Paco Bytes,INDIVIDUAL,0x9687c70DcFE21C6198703C813cDAEC9d3458e068,,73252.54,73710.07,49,true,49,8,24945,41652,112500,181452.515,4286000,47250,0,35000,,,DEVELOPER_ECOSYSTEM|OP_STACK
0x1d538cf069b0305b1e1ba23f59f4d305fb1e501c977f6a7a80e6e414caa36077,Ethereum Mexico,PROJECT,0x596a9BCad70d07AFF4215b2a17ad36298139fB6C,,24357.86,24510,49,true,49,5,2000,6000,38423,103612.5,157720,31455,0,23300,,,COLLECTIVE_GOVERNANCE|END_USER_EXPERIENCE_AND_ADOPTION
0xde2cdac6214cb7c5ebabfbf74f0038b416910f207f41be680680db18e477a820,Boardroom,PROJECT,0x6De8448e7d5f58af394CC9540ABe703d0c955dFd,boardroomgov.eth,49689.64,50000,49,true,49,11,35038,40000,125000,200000,500000,70740,0,52400,2160000,false,COLLECTIVE_GOVERNANCE
0x0d494df8a9fd661b3eac0d17be9cb49c90ca4c94d8b6551d82df74b74907ef4f,Optimism Community Governance Calls (Michael),INDIVIDUAL,0x6EdA5aCafF7F5964E1EcC3FD61C62570C186cA0C,opmichael.eth,47702.06,48000,49,true,49,6,20000,29703,161510.57,199999,300000,76005,0,56300,,,COLLECTIVE_GOVERNANCE
0xe3e819b9059115915280be91f45afb951f907e7ba9208cb9f979bc0d1e58a45e,Commons Stack,PROJECT,0x8110d1D04ac316fdCACe8f24fD60C86b810AB15A,commonsstack.eth,69565.5,70000,49,true,49,15,14497,50000,88496,110000,200000,386769.7465,251717.92,100038.39,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0xdc7101e51a122ec96eaf07c4191f5cc0a096ef50cbbdfdf5936464369991afb2,Hypercerts Foundation,PROJECT,0xB6091aAb544eF253c23a37295953AaFc9D836681,,94410.32,95000,49,true,49,10,22648,75000,167500,215347.43,250000,0,0,0,,,END_USER_EXPERIENCE_AND_ADOPTION
