date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-derive,forecasted_TVL_opchain-derive,forecasted_TVL-derive_v1_protocol,forecasted_TVL_opchain-derive_v1_protocol,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-11-15 00:00:00,0.288683578469461,0.2563667266902758,0.049793940413588283,5.8677617275966345e-06,0.0,0.0,55903432.121909425,55183631.10181649,996831.6924238722,1267515.1370691452,48068704.78881241,54059126.92371659
2024-11-16 00:00:00,0.4242623311414652,0.38606991345286046,0.09988576965016159,7.93206994167247e-06,0.0,0.0,59526831.0837149,59995260.481107526,975621.226477944,1392742.4169046776,49328482.96198843,57823133.72931908
2024-11-17 00:00:00,0.30067376572248705,0.30901123070477454,0.08207986351136319,7.343056944618405e-06,0.0,0.0,55466520.06542654,60042851.19774494,1113648.0992018878,1534018.8046167076,51716322.69051834,59165595.22008868
2024-11-18 00:00:00,0.2787965277025896,0.27145448673886863,0.17085118685678682,5.168015428333102e-06,0.0,0.0,60086952.52627943,60674298.086766504,1037121.402779532,1472191.464621548,48571889.24838934,54732758.87415198
2024-11-19 00:00:00,0.3788762075555941,0.31588772813956983,0.09684637007154177,6.9357310880118835e-06,0.0,0.0,57675920.59023122,57343761.165000506,973536.5675859048,1325484.2723089145,53619627.577063866,57112833.02922495
2024-11-20 00:00:00,0.311295319626237,0.19432876941365032,0.0942673073085388,7.0439186646008805e-06,0.0,0.0,58817550.99911349,58368308.870555855,945265.8034037597,1366585.6644720351,49938623.20217749,54278155.08193981
2024-11-21 00:00:00,0.17206582529069722,0.22687613212685953,0.2530951686866728,6.612657072706345e-06,0.0,0.0,53668655.38009838,55024103.2197519,1136761.241837526,1419398.4102103577,51527049.43046902,54977453.89849448
2024-11-22 00:00:00,0.6462108283678168,0.24077961709851964,0.1489505969641058,5.619834631641175e-06,0.0,0.0,59960821.620382175,60690773.78916839,1001991.3256143742,1524198.8184679102,47325637.25940782,60153389.35343176
2024-11-23 00:00:00,0.12655658836869363,0.11941853482170404,0.1880131873606453,4.123042041149595e-06,0.0,0.0,60021785.94152138,55102387.8029448,969111.435822756,1332540.8160563041,51417673.90022367,54962062.922795266
2024-11-24 00:00:00,0.36920565618903595,0.3704273577683714,0.19159061873380176,6.145388817877364e-06,0.0,0.0,58497415.72074964,60381648.27400976,1120001.6099577164,1431589.4926096387,48931706.06831472,55209453.12669912
