seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
theblokc,arbdevbootcamp-reference,tungstenite,snapview,tungstenite-rs,RUST
offchainlabs,stylus-by-example,tungstenite,snapview,tungstenite-rs,RUST
fluidity-money,long.so,has-flag,sindresorhus,has-flag,NPM
alt-research,nitro-near,windows_i686_gnullvm,microsoft,windows-rs,RUST
offchainlabs,stylus-tutorials,itoa,dtolnay,itoa,RUST
cryptosmartnow,stylus_bitsave,itoa,dtolnay,itoa,RUST
offchainlabs,stylus-workshop-counter,itoa,dtolnay,itoa,RUST
theblokc,arbdevbootcamp-reference,@types/node,definitelytyped,definitelytyped,NPM
fluidity-money,long.so,postcss-selector-parser,postcss,postcss-selector-parser,NPM
offchainlabs,stylus-by-example,@radix-ui/react-direction,radix-ui,primitives,NPM
teeeeeo9,basket-swap-stylus,sha3,rustcrypto,hashes,RUST
blockscout,cargo-stylus-test-examples,@sentry/utils,getsentry,sentry-javascript,NPM
teeeeeo9,basket-swap-stylus,futures-util,rust-lang,futures-rs,RUST
alt-research,nitro,utf8parse,alacritty,vte,RUST
offchainlabs,stylus-erc20,brorand,indutny,brorand,NPM
offchainlabs,nitro,github.com/google/go-querystring,google,go-querystring,GO
offchainlabs,stylus-chess,serde_derive,serde-rs,serde,RUST
fracton-ventures,nitro-gacha,serde_derive,serde-rs,serde,RUST
offchainlabs,stylus-workshop-basic-nft,serde_derive,serde-rs,serde,RUST
offchainlabs,stylus-workshop-nft,serde_derive,serde-rs,serde,RUST
alt-research,nitro,serde_derive,serde-rs,serde,RUST
offchainlabs,stylus-tutorials,@ethersproject/random,ethers-io,ethers.js,NPM
fluidity-money,long.so,@ethersproject/random,ethers-io,ethers.js,NPM
offchainlabs,stylus-by-example,micromark-extension-mdx-expression,micromark,micromark-extension-mdx-expression,NPM
fluidity-money,long.so,@stablelib/random,stablelib,stablelib,NPM
alt-research,nitro-near,github.com/beorn7/perks,beorn7,perks,GO
fluidity-money,long.so,@webassemblyjs/floating-point-hex-parser,xtuc,webassemblyjs,NPM
offchainlabs,stylus-erc721,heck,withoutboats,heck,RUST
offchainlabs,stylus-erc20,web3-shh,ethereum,web3.js,NPM
offchainlabs,stylus-tutorials,p-locate,sindresorhus,p-locate,NPM
alt-research,nitro-contracts-2.1.0,gperftools,dignifiedquire,rust-gperftools,RUST
cryptosmartnow,bitsave_stylus,windows_x86_64_gnullvm,microsoft,windows-rs,RUST
solide-project,stylide,ripemd,rustcrypto,hashes,RUST
offchainlabs,stylus-quickstart-vending-machine,ripemd,rustcrypto,hashes,RUST
fluidity-money,long.so,wrappy,npm,wrappy,NPM
theblokc,arbdevbootcamp-reference,@types/estree,definitelytyped,definitelytyped,NPM
cryptosmartnow,stylus_bitsave,deranged,jhpratt,deranged,RUST
offchainlabs,stylus-erc721,case,nbubna,case,NPM
dsrvlabs,arbiturm-stylus-solidity-compare,system-configuration-sys,mullvad,system-configuration-rs,RUST
offchainlabs,stylus-erc721,delayed-stream,felixge,node-delayed-stream,NPM
blockscout,cargo-stylus-test-examples,@adraffy/ens-normalize,adraffy,ens-normalize.js,NPM
offchainlabs,stylus-erc721,@nomicfoundation/ethereumjs-tx,ethereumjs,ethereumjs-monorepo,NPM
blockscout,cargo-stylus-test-examples,@nomicfoundation/ethereumjs-tx,ethereumjs,ethereumjs-monorepo,NPM
fluidity-money,long.so,clipboardy,sindresorhus,clipboardy,NPM
alt-research,nitro-near,lru,jeromefroe,lru-rs,RUST
offchainlabs,nitro,trie-root,paritytech,trie,RUST
offchainlabs,stylus-erc721,stream-transform,adaltas,node-csv,NPM
offchainlabs,stylus-erc721,web3-utils,chainsafe,web3.js,NPM
offchainlabs,stylus-erc721,functional-red-black-tree,mikolalysenko,functional-red-black-tree,NPM
fluidity-money,long.so,node-dir,fshost,node-dir,NPM
theblokc,arbdevbootcamp-reference,levn,gkz,levn,NPM
offchainlabs,stylus-tutorials,windows_aarch64_gnullvm,microsoft,windows-rs,RUST
offchainlabs,stylus-workshop-counter,windows_aarch64_gnullvm,microsoft,windows-rs,RUST
offchainlabs,stylus-vending-machine,uint,paritytech,parity-common,RUST
cryptosmartnow,bitsave_stylus,uint,paritytech,parity-common,RUST
offchainlabs,stylus-english-auction,uint,paritytech,parity-common,RUST
theblokc,arbdevbootcamp-reference,minipass,isaacs,minipass,NPM
blockscout,cargo-stylus-test-examples,@ethersproject/base64,ethers-io,ethers.js,NPM
offchainlabs,stylus-tutorials,@ethersproject/base64,ethers-io,ethers.js,NPM
offchainlabs,stylus-erc721,string.prototype.trimend,es-shims,string.prototype.trimend,NPM
offchainlabs,stylus-erc20,whatwg-url,jsdom,whatwg-url,NPM
offchainlabs,stylus-by-example,quick-error,tailhook,quick-error,RUST
offchainlabs,stylus-workshop-nft,quick-error,tailhook,quick-error,RUST
fluidity-money,long.so,throat,forbeslindesay,throat,NPM
blockscout,cargo-stylus-test-examples,@scure/base,paulmillr,scure-base,NPM
offchainlabs,stylus-by-example,perfect-debounce,unjs,perfect-debounce,NPM
theblokc,arbdevbootcamp-reference,@ethersproject/address,ethers-io,ethers.js,NPM
alt-research,nitro-near,github.com/aws/smithy-go,aws,smithy-go,GO
fracton-ventures,nitro-gacha,inout,rustcrypto,utils,RUST
offchainlabs,stylus-workshop-counter,rustls-pemfile,rustls,pemfile,RUST
cryptosmartnow,stylus_bitsave,rustls-pemfile,rustls,pemfile,RUST
fluidity-money,long.so,to-fast-properties,sindresorhus,to-fast-properties,NPM
