artifact_name,project_name,metric_name,sample_date,amount
mishegos,trailofbits,GITHUB_active_developers_monthly,2023-05-01,2
redstone-oracles-monorepo,redstone-finance,GITHUB_active_developers_monthly,2023-05-01,4
haskell-backend,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,4
pyth-agent,pyth-network,GITHUB_active_developers_monthly,2023-05-01,3
publications,trailofbits,GITHUB_active_developers_monthly,2023-05-01,4
go-sdk,third-web,GITHUB_active_developers_monthly,2023-05-01,1
vast-checker,trailofbits,GITHUB_active_developers_monthly,2023-05-01,1
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2023-05-01,2
redstone-mock-prices,redstone-finance,GITHUB_active_developers_monthly,2023-05-01,1
cast_checks,trailofbits,GITHUB_active_developers_monthly,2023-05-01,1
widgets,third-web,GITHUB_active_developers_monthly,2023-05-01,1
proof-generation,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,1
pyth-crosschain,pyth-network,GITHUB_active_developers_monthly,2023-05-01,9
sv_circuit,trailofbits,GITHUB_active_developers_monthly,2023-05-01,1
docs,third-web,GITHUB_active_developers_monthly,2023-02-01,7
web3-grants-milestones,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,1
k-pldi-tutorial,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,2
graphtage,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
pyth-sdk-rs,pyth-network,GITHUB_active_developers_monthly,2023-02-01,2
llvm-backend,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,1
redstone-oracles-monorepo,redstone-finance,GITHUB_active_developers_monthly,2023-02-01,5
evm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,3
pyth-client-js,pyth-network,GITHUB_active_developers_monthly,2023-02-01,3
rv-toolkit-docs,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,1
necessist,trailofbits,GITHUB_active_developers_monthly,2023-05-01,2
